mean_test_score,std_test_score,rank_test_score,lgbm__bagging_fraction,lgbm__bagging_freq,lgbm__feature_fraction,lgbm__learning_rate,lgbm__max_depth,lgbm__min_child_samples,lgbm__n_estimators,lgbm__num_leaves,lgbm__verbose,pca__n_components
0.9304941538558001,0.007395455702506045,214,0.8,10,1.0,0.2,20,10,150,50,-1,10
0.9299131751630121,0.006877189343194378,215,0.8,5,0.8,0.2,20,10,150,50,-1,20
0.9297811720068203,0.004049757389811879,216,0.8,5,0.8,0.2,20,10,150,80,-1,20
0.9207060012063278,0.011272163543665207,217,0.8,10,0.8,0.2,20,10,150,80,-1,10
0.9192833195927491,0.011320184517630175,218,1.0,5,0.8,0.1,20,10,200,31,-1,10
0.9188720873863966,0.012705855119867621,219,0.8,10,0.8,0.2,20,10,150,50,-1,10
0.9180481545781699,0.01629104128965607,220,0.8,10,1.0,0.1,10,10,200,31,-1,10
0.9177701444244859,0.013852760653752677,221,1.0,5,1.0,0.2,-1,10,200,50,-1,10
0.9176143038787204,0.017426620543154907,222,0.8,10,1.0,0.1,20,10,150,31,-1,10
0.9175811187004757,0.01618949069071869,223,0.8,10,1.0,0.1,10,10,200,50,-1,10
0.9170908600730362,0.012611221862550728,224,0.8,5,0.8,0.1,10,5,200,80,-1,10
0.916967648669319,0.00884109452448772,225,0.8,5,0.8,0.2,10,10,200,80,-1,10
0.9169554361219499,0.011948739128480946,226,0.8,5,1.0,0.1,10,5,200,80,-1,10
0.9167361871222266,0.013089270385683084,227,1.0,5,0.8,0.1,-1,10,200,31,-1,10
0.9166192258155739,0.010266212276086893,228,0.8,10,0.8,0.2,10,10,200,50,-1,10
0.9162671895192632,0.014917360625212562,229,0.8,10,0.8,0.2,-1,10,150,31,-1,10
0.9161804818880188,0.01168619956487797,230,1.0,10,1.0,0.1,10,10,200,50,-1,20
0.9161490325553858,0.011724289559104626,231,1.0,5,1.0,0.1,10,5,200,50,-1,10
0.9160371750991712,0.014792858095547043,232,0.8,10,0.8,0.1,20,5,200,50,-1,10
0.9159231081917996,0.010865942254450065,233,1.0,10,1.0,0.1,-1,10,150,80,-1,20
0.9157115745473389,0.014529471500591189,234,0.8,5,0.8,0.1,-1,5,200,80,-1,10
0.9154673288142945,0.01699533660964745,235,0.8,5,1.0,0.1,-1,5,150,31,-1,10
0.9154663728822664,0.013212401410421272,236,0.8,10,1.0,0.1,-1,10,150,50,-1,10
0.9154250272212516,0.011951060480077906,237,1.0,10,0.8,0.2,10,10,150,31,-1,20
0.9154087823656927,0.01306056263546479,238,1.0,5,1.0,0.2,20,5,200,80,-1,20
0.9154057394350555,0.020052321040595136,239,1.0,10,1.0,0.2,20,5,150,80,-1,20
0.9152608720708402,0.007848093529775325,240,0.8,10,0.8,0.2,-1,10,150,50,-1,10
0.915235154121833,0.014316170321538788,241,0.8,10,1.0,0.2,-1,10,200,31,-1,10
0.9152282636249242,0.011525233346713905,242,0.8,10,0.8,0.2,10,10,150,31,-1,10
0.9151989014673318,0.012478041986184477,243,0.8,5,0.8,0.1,20,10,150,80,-1,10
